ScientificName,Latitude,Longitude,YearCollected,MonthCollected,DayCollected
Oreochromis niloticus,13.51528,144.83611,2010,4,4
Oreochromis niloticus,30.41111,-88.82778,2006,10,24
Oreochromis niloticus,,,2004,7,28
Oreochromis niloticus,30.5123917,-88.550728,2006,11,29
Oreochromis niloticus,,,1978,9,12
Tilapia nilotica,,,1927,,
Tilapia nilotica,,,1927,5,21
Tilapia nilotica,,,1927,6,4
Tilapia nilotica,,,1927,6,15
Oreochromis niloticus,,,2004,9,11
Tilapia nilotica,,,1927,8,27
Oreochromis niloticus,,,2004,9,11
Oreochromis niloticus,,,2004,9,12
Oreochromis niloticus,,,2004,9,12
Oreochromis niloticus,20.0602778,99.3638889,2012,12,30
Oreochromis niloticus,,,2004,9,20
Oreochromis niloticus,18.252339,100.178668,2016,1,17
Oreochromis niloticus,17.287783,101.765735,2016,1,20
Oreochromis niloticus,32.60194,-85.485,1979,10,16
Oreochromis niloticus,07°52'24''N,034°29'48''E,2008,10,7
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Oreochromis niloticus,26.65361,-80.29833,2016,11,1
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Tilapia nilotica,9.133,18.367,,,
Tilapia nilotica,9.133,18.367,,,
Tilapia nilotica,9.133,18.367,,,
Oreochromis niloticus,27.20004,-81.9876306,2014,11,10
Oreochromis niloticus,-0.4990833,100.0397833,2014,11,5
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Oreochromis niloticus,29.647344,-82.344564,2017,2,21
Oreochromis niloticus,29.6411111,-82.3461111,2017,3,1
Oreochromis niloticus,-0.89526,-89.47987,2007,8,16
Tilapia nilotica,,,1912,,
Oreochromis niloticus,14.746751,98.633267,2017,1,9
Oreochromis niloticus,14.218114,99.226038,2017,1,12
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Oreochromis niloticus,,,1976,2,1
Tilapia nilotica cancellata,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica cancellata,,,,,
Tilapia nilotica cancellata,,,,,
Tilapia nilotica cancellata,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica regani,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,1937,2,16
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,,,
Tilapia nilotica,,,1950,4,8
Tilapia nilotica,,,,,
Oreochromis niloticus,32.60194,-85.485,1979,12,1
Tilapia nilotica,,,,,
Tilapia nilotica,,,1969,1,
Oreochromis niloticus niloticus,,,1984,2,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,1984,2,
Oreochromis niloticus,,,1986,4,
Oreochromis niloticus,,,1986,4,
Oreochromis niloticus,,,1987,1,
Oreochromis niloticus,,,1989,9,
Oreochromis niloticus,,,2006,11,13
Oreochromis niloticus,,,1991,2,
Oreochromis niloticus,11.4,8.467,1992,7,23
Oreochromis niloticus,,,1998,7,24
Oreochromis niloticus,,,1998,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,,,,,
Oreochromis niloticus,-20.314,57.404,2002,11,14
Oreochromis niloticus,8.5,39.25,2002,5,26
Oreochromis niloticus,8.5,39.25,2002,5,26
Oreochromis niloticus,9,39.833,2002,6,2
Oreochromis niloticus,9,39.983,2002,6,9
Oreochromis niloticus,9,39.983,2003,6,9
Oreochromis niloticus,,,2002,6,1
Oreochromis niloticus,9,39.983,2002,6,9
Oreochromis niloticus,,,2001,11,25
Oreochromis niloticus,,,2001,11,25
Oreochromis niloticus,,,2001,11,27
Oreochromis niloticus,,,,,
Oreochromis niloticus,9,39.983,2002,6,9
Oreochromis niloticus niloticus,,,,,
Oreochromis niloticus,32.60194,-85.485,1978,10,1
Oreochromis niloticus,,,2001,8,3
Oreochromis niloticus,18.1833324,-100.3805542,1984,7,26
Tilapia nilotica,,,1960,,
Tilapia nilotica,,,1960,,
Oreochromis niloticus,,,2001,7,23
Oreochromis niloticus,,,2001,7,23
Oreochromis niloticus,18.0488892,-102.1838913,1984,7,30
Oreochromis niloticus,,,2001,8,23
Oreochromis niloticus niloticus,1430 N,00410 W,1980,7,5
Oreochromis niloticus,,,2001,7,27
Oreochromis niloticus,,,2001,7,25
Oreochromis niloticus,1328 N,00540 E,1981,2,16
Oreochromis niloticus,1307 N,00515 E,1981,5,12
Oreochromis niloticus,1310 N,00200 E,1980,7,18
Oreochromis niloticus,1308 N,00512 E,1980,5,1
Oreochromis niloticus,1306 N,00513 E,1981,2,12
Oreochromis niloticus,1342 N,00516 E,1981,5,12
Oreochromis niloticus,1307 N,00515 E,1980,10,10
Oreochromis niloticus,1306 N,00516 E,1980,12,30
Oreochromis niloticus,1330 N,00450 E,1980,7,17
Oreochromis niloticus,1307 N,00515 E,1981,2,
Oreochromis niloticus,30.420559,-88.493477,1995,1,12
Oreochromis niloticus,,,2001,7,7
Oreochromis niloticus,,,2001,7,2
Tilapia nilotica,,,1965,4,14
Oreochromis niloticus,11.2517333,99.43705,2014,2,2
Oreochromis niloticus,25.6623097,-80.3559703,2014,11,20
Oreochromis niloticus,17.67602,104.28566,2015,1,8
Oreochromis niloticus,14.20021,99.48396,2015,1,27
Oreochromis niloticus,19.70232,99.58538,2015,1,13
Oreochromis niloticus,16.66933,103.15763,2015,1,7
Oreochromis niloticus,13.78043,99.42093,2015,1,26
Oreochromis niloticus,18.37862,99.44386,2015,1,14
Oreochromis niloticus,17.4459,99.12935,2015,1,15
Oreochromis niloticus,,,2014,,
Oreochromis niloticus,25.64183,-80.33659,2015,10,21
Oreochromis niloticus,26.6846,-80.3633,2015,10,21
Oreochromis niloticus,26.3393,-81.8057,2015,11,17
Oreochromis niloticus,28.0747583,-80.6084,2016,4,7
Oreochromis niloticus,27.83562,-80.51969,2016,9,21
Oreochromis niloticus,11.6225,37.3808333,1994,10,21
Oreochromis niloticus,,,2009,9,28
Oreochromis niloticus,,,,,
Oreochromis niloticus,27.619545,-80.381209,2019,3,26
Oreochromis niloticus,27.7742,-80.60732,2019,3,25
Oreochromis niloticus,28.8463,-81.8661,2018,10,30
Oreochromis niloticus,27.33308,-80.46614,2019,3,26
Oreochromis niloticus,,,1980,6,30
Oreochromis niloticus,30.3709,-88.5969,1997,8,2
Oreochromis niloticus,30.512393,-88.551052,2000,11,16
