dwc:basisOfRecord,idigbio:eventDate,idigbio:dataQualityScore,idigbio:flags,idigbio:geoPoint,dwc:scientificName
preservedspecimen,2012-06-09T00:00:00+00:00,0.260869565,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]","{""lat"": -2.916944, ""lon"": -41.784167}",oreochromis niloticus
preservedspecimen,2010-07-01T00:00:00+00:00,0.260869565,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]","{""lat"": -19.693333, ""lon"": -40.671944}",oreochromis niloticus
preservedspecimen,2000-08-27T00:00:00+00:00,0.260869565,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added""]","{""lat"": -18.753611, ""lon"": -40.899722}",oreochromis niloticus
preservedspecimen,2001-09-11T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.510725, ""lon"": -88.570637}",oreochromis niloticus
preservedspecimen,2001-10-11T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.514826, ""lon"": -88.574484}",oreochromis niloticus
preservedspecimen,2002-01-30T00:00:00+00:00,0.231884058,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""gbif_vernacularname_added"", ""dwc_kingdom_added"", ""dwc_taxonomicstatus_added"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_specificepithet_added"", ""dwc_originalnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_added"", ""dwc_genus_added"", ""dwc_phylum_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]","{""lat"": 30.507333, ""lon"": -88.554381}",oreochromis niloticus
preservedspecimen,2006-07-27T00:00:00+00:00,0.347826087,"[""geopoint_datum_missing"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_replaced"", ""dwc_datasetid_replaced"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_originalnameusageid_added"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""dwc_class_replaced"", ""dwc_parentnameusageid_added""]","{""lat"": 19.8897989, ""lon"": -101.6687012}",oreochromis niloticus
preservedspecimen,2010/4/9,0.275362319,"[""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_vernacularname_added"", ""dwc_continent_added"", ""dwc_taxonomicstatus_replaced"", ""idigbio_isocountrycode_added"", ""dwc_datasetid_replaced"", ""dwc_class_replaced"", ""dwc_originalnameusageid_added"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced""]","{""lat"": 24.103, ""lon"": -99.2159997}",oreochromis niloticus
preservedspecimen,1993-07-01T00:00:00+00:00,0.347826087,"[""geopoint_datum_error"", ""gbif_reference_added"", ""dwc_taxonrank_replaced"", ""gbif_genericname_added"", ""gbif_vernacularname_added"", ""dwc_taxonomicstatus_replaced"", ""dwc_datasetid_replaced"", ""dwc_order_replaced"", ""dwc_taxonid_replaced"", ""dwc_multimedia_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_originalnameusageid_added"", ""dwc_continent_added"", ""idigbio_isocountrycode_added"", ""dwc_class_replaced"", ""dwc_parentnameusageid_added""]","{""lat"": 19.8805555, ""lon"": -88.7672222}",oreochromis niloticus
preservedspecimen,2019-05-18T00:00:00+00:00,0.246376812,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_scientificnameauthorship_added"", ""dwc_taxonid_added"", ""gbif_canonicalname_added"", ""dwc_phylum_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_parentnameusageid_added""]","{""lat"": -20.183889, ""lon"": -40.191111}",oreochromis niloticus
